[01:51:57] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[01:51:57] [INIT] Loaded plugins:
[01:51:57] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[01:51:57] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[01:51:57] [INIT] - com.tom.createores.kubejs.KubeJSExcavation
[01:51:58] [INFO] example.js#5: Hello, World! (Loaded startup scripts)
[01:51:58] [INFO] Loaded script startup_scripts:example.js in 0.072 s
[01:51:58] [INFO] addonpack_p_sing:kubejs_scripts/dash.js#1: Loaded Java class 'net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket'
[01:51:58] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/dash.js in 0.034 s
[01:51:58] [INFO] Loaded script addonpack_p_sing:kubejs_scripts/aoe_damage.js in 0.005 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/xgene_manipulation.js in 0.001 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/x_ray_vision_ability.js in 0.003 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/wall_climb_move_condition.js in 0.0 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/wall_climb_condition.js in 0.0 s
[01:51:58] [INFO] addonpack_fsang_hero:kubejs_scripts/wall_climb.js#1: Loaded Java class 'net.minecraft.world.level.ClipContext'
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/wall_climb.js in 0.015 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/vulcan_shield2.js in 0.001 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/vulcan_shield1.js in 0.001 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/vulcan_overload.js in 0.0 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/tellraw_ability.js in 0.005 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/teleport_ability2.js in 0.001 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/teleport_ability.js in 0.003 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/telepathy_stop.js in 0.001 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/tactile_telekinesis_stun.js in 0.0 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_wraith_dna.js in 0.001 s
[01:51:58] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_venom_dna.js in 0.025 s
